"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
3	0.97711959234967	7	14	"CO2"	0
4	0.978417936367397	12	14	"CO2"	0
5	0.986352785551789	9	14	"CO2"	0
6	0.980211766468347	9	14	"CO2"	0
7	0.98171421921779	10	14	"CO2"	0
8	0.970658497512717	9	14	"CO2"	0
9	0.986536231884058	8	14	"CO2"	0
10	0.976256342984897	9	14	"CO2"	0
11	0.983660933660934	7	14	"CO2"	0
12	0.973331697401305	8	14	"CO2"	0
13	0.983221719195221	11	14	"CO2"	0
14	0.971267948877719	9	14	"CO2"	0
15	0.977132056660989	8	14	"CO2"	0
16	0.98182592868371	12	14	"CO2"	0
17	0.977916364380453	12	14	"CO2"	0
18	0.983908665947501	11	14	"CO2"	0
19	0.983249487085804	11	14	"CO2"	0
20	0.976192332538816	11	14	"CO2"	0
21	0.971259962104228	6	14	"CO2"	0
22	0.972460129161303	8	14	"CO2"	0
23	0.982283151987586	8	14	"CO2"	0
24	0.982052629855839	11	14	"CO2"	0
25	0.975314575902624	7	14	"CO2"	0
26	0.990795777388951	9	14	"CO2"	0
27	0.980774585243791	7	14	"CO2"	0
28	0.975172535669773	8	14	"CO2"	0
29	0.973216935565405	9	14	"CO2"	0
30	0.983579442266239	8	14	"CO2"	0
1	0.983635948609923	9	15	"CO2"	0
2	0.985370439891196	10	15	"CO2"	0
3	0.976331767066153	8	15	"CO2"	0
4	0.984566591819207	9	15	"CO2"	0
5	0.970517241987298	8	15	"CO2"	0
6	0.973264134978376	8	15	"CO2"	0
7	0.989168672468062	9	15	"CO2"	0
8	0.980521260537708	13	15	"CO2"	0
9	0.975978459133154	7	15	"CO2"	0
10	0.984440696322817	10	15	"CO2"	0
11	0.984377168569529	10	15	"CO2"	0
12	0.984428819600443	9	15	"CO2"	0
13	0.978392154889175	7	15	"CO2"	0
14	0.977063822876631	9	15	"CO2"	0
15	0.977307705432705	7	15	"CO2"	0
16	0.971772900976441	7	15	"CO2"	0
17	0.980965906135231	7	15	"CO2"	0
18	0.980139959206121	6	15	"CO2"	0
19	0.982394872495381	8	15	"CO2"	0
20	0.982070155030986	9	15	"CO2"	0
21	0.971740495255347	10	15	"CO2"	0
22	0.971202398485167	10	15	"CO2"	0
23	0.987342290385054	10	15	"CO2"	0
24	0.982333964513641	11	15	"CO2"	0
25	0.9888756907504	7	15	"CO2"	0
26	0.98318802823705	6	15	"CO2"	0
27	0.98187022231573	7	15	"CO2"	0
28	0.98617993848257	8	15	"CO2"	0
