"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
13	0.964315916641498	10	11	"CO2"	"Yes"	0.1
14	0.974770206930136	9	11	"CO2"	"Yes"	0.1
15	0.971494549146563	10	11	"CO2"	"Yes"	0.1
16	0.98036223036223	9	11	"CO2"	"Yes"	0.1
17	0.975712707763518	9	11	"CO2"	"Yes"	0.1
18	0.976676857758453	11	11	"CO2"	"Yes"	0.1
19	0.97414170262958	9	11	"CO2"	"Yes"	0.1
20	0.969710582517122	9	11	"CO2"	"Yes"	0.1
21	0.97548316873739	10	11	"CO2"	"Yes"	0.1
22	0.966711927043407	10	11	"CO2"	"Yes"	0.1
23	0.978648388078888	11	11	"CO2"	"Yes"	0.1
24	0.975373993095512	10	11	"CO2"	"Yes"	0.1
25	0.978495369719794	9	11	"CO2"	"Yes"	0.1
26	0.977000457490611	10	11	"CO2"	"Yes"	0.1
27	0.97394747885084	10	11	"CO2"	"Yes"	0.1
28	0.978332395059335	9	11	"CO2"	"Yes"	0.1
29	0.982233453219618	9	11	"CO2"	"Yes"	0.1
30	0.980063143543931	10	11	"CO2"	"Yes"	0.1
1	0.967742798441981	12	12	"CO2"	"Yes"	0.1
2	0.978955773290749	9	12	"CO2"	"Yes"	0.1
3	0.990198065727288	10	12	"CO2"	"Yes"	0.1
4	0.98046453508204	12	12	"CO2"	"Yes"	0.1
5	0.973180494255133	12	12	"CO2"	"Yes"	0.1
6	0.975446241725568	10	12	"CO2"	"Yes"	0.1
7	0.978171606650571	8	12	"CO2"	"Yes"	0.1
8	0.979423697364959	9	12	"CO2"	"Yes"	0.1
9	0.972203826533252	10	12	"CO2"	"Yes"	0.1
10	0.975075356229448	12	12	"CO2"	"Yes"	0.1
11	0.982219807741888	10	12	"CO2"	"Yes"	0.1
12	0.974754093664622	10	12	"CO2"	"Yes"	0.1
13	0.973479670740833	9	12	"CO2"	"Yes"	0.1
14	0.975243738537049	12	12	"CO2"	"Yes"	0.1
15	0.981060333733545	11	12	"CO2"	"Yes"	0.1
16	0.974046936391632	12	12	"CO2"	"Yes"	0.1
17	0.976731642660846	12	12	"CO2"	"Yes"	0.1
18	0.975820616516588	8	12	"CO2"	"Yes"	0.1
19	0.977800200911276	10	12	"CO2"	"Yes"	0.1
20	0.968329651448208	10	12	"CO2"	"Yes"	0.1
21	0.967746570583592	8	12	"CO2"	"Yes"	0.1
22	0.97387243878061	10	12	"CO2"	"Yes"	0.1
23	0.97453625780209	9	12	"CO2"	"Yes"	0.1
24	0.979334012341142	10	12	"CO2"	"Yes"	0.1
25	0.984663698632534	12	12	"CO2"	"Yes"	0.1
26	0.976638896992879	10	12	"CO2"	"Yes"	0.1
27	0.96762218822711	11	12	"CO2"	"Yes"	0.1
28	0.974672946101518	9	12	"CO2"	"Yes"	0.1
29	0.983529869166346	10	12	"CO2"	"Yes"	0.1
30	0.968436562197589	8	12	"CO2"	"Yes"	0.1
1	0.977473307412208	12	13	"CO2"	"Yes"	0.1
2	0.97905384558096	12	13	"CO2"	"Yes"	0.1
3	0.971669922390581	8	13	"CO2"	"Yes"	0.1
4	0.986940399501976	13	13	"CO2"	"Yes"	0.1
5	0.977523310776583	9	13	"CO2"	"Yes"	0.1
6	0.981766146120527	13	13	"CO2"	"Yes"	0.1
7	0.972893128389338	11	13	"CO2"	"Yes"	0.1
8	0.977507340835413	11	13	"CO2"	"Yes"	0.1
9	0.978536145307326	12	13	"CO2"	"Yes"	0.1
10	0.985053417875445	10	13	"CO2"	"Yes"	0.1
11	0.978056328666971	9	13	"CO2"	"Yes"	0.1
12	0.966195911354232	10	13	"CO2"	"Yes"	0.1
13	0.963981343824482	10	13	"CO2"	"Yes"	0.1
14	0.974928469977975	12	13	"CO2"	"Yes"	0.1
15	0.969250581177618	10	13	"CO2"	"Yes"	0.1
16	0.977875777470629	12	13	"CO2"	"Yes"	0.1
17	0.97519384057971	11	13	"CO2"	"Yes"	0.1
18	0.976941816832884	10	13	"CO2"	"Yes"	0.1
19	0.97852725306341	11	13	"CO2"	"Yes"	0.1
20	0.97358152173913	10	13	"CO2"	"Yes"	0.1
21	0.96906231474701	9	13	"CO2"	"Yes"	0.1
22	0.983687173330074	10	13	"CO2"	"Yes"	0.1
23	0.971597173367494	9	13	"CO2"	"Yes"	0.1
24	0.978804757292003	9	13	"CO2"	"Yes"	0.1
25	0.975702407741583	10	13	"CO2"	"Yes"	0.1
26	0.973520660932978	12	13	"CO2"	"Yes"	0.1
27	0.975855814614827	10	13	"CO2"	"Yes"	0.1
28	0.976759767516952	10	13	"CO2"	"Yes"	0.1
29	0.971980644010347	9	13	"CO2"	"Yes"	0.1
30	0.977460089908322	10	13	"CO2"	"Yes"	0.1
1	0.96060170202565	8	14	"CO2"	"Yes"	0.1
