"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"noise_level"
2	0.97662555372188	11	16	"CO2"	1	10
3	0.983958570501431	10	16	"CO2"	1	10
4	0.982316862474084	8	16	"CO2"	1	10
5	0.983235106721886	8	16	"CO2"	1	10
6	0.977229598302937	10	16	"CO2"	1	10
7	0.978143794423182	10	16	"CO2"	1	10
8	0.983727575942578	10	16	"CO2"	1	10
9	0.97556604399789	10	16	"CO2"	1	10
10	0.979986927563525	8	16	"CO2"	1	10
11	0.977577741407529	12	16	"CO2"	1	10
12	0.98052744315837	10	16	"CO2"	1	10
13	0.986467491047064	9	16	"CO2"	1	10
14	0.981929796678284	10	16	"CO2"	1	10
15	0.97215341984049	10	16	"CO2"	1	10
16	0.981122333784897	10	16	"CO2"	1	10
17	0.981862561431206	11	16	"CO2"	1	10
18	0.974504717384976	8	16	"CO2"	1	10
19	0.972707028688988	10	16	"CO2"	1	10
20	0.982101742739183	9	16	"CO2"	1	10
21	0.975857023411371	9	16	"CO2"	1	10
22	0.986828019627112	12	16	"CO2"	1	10
23	0.978749505619315	13	16	"CO2"	1	10
24	0.977087278210253	12	16	"CO2"	1	10
25	0.978189057609011	9	16	"CO2"	1	10
26	0.977179195153734	9	16	"CO2"	1	10
27	0.981648980545267	8	16	"CO2"	1	10
28	0.988033214811314	10	16	"CO2"	1	10
29	0.975489366353881	10	16	"CO2"	1	10
30	0.986165711165711	8	16	"CO2"	1	10
1	0.979949032480995	9	17	"CO2"	1	10
2	0.975782759249134	12	17	"CO2"	1	10
3	0.982303122591318	14	17	"CO2"	1	10
4	0.977224779439969	9	17	"CO2"	1	10
5	0.974654613991107	8	17	"CO2"	1	10
6	0.984096206937298	9	17	"CO2"	1	10
7	0.982325671745225	9	17	"CO2"	1	10
8	0.975392847305583	9	17	"CO2"	1	10
9	0.987716151432966	11	17	"CO2"	1	10
10	0.975684061004785	10	17	"CO2"	1	10
11	0.982899407166862	11	17	"CO2"	1	10
12	0.978798068161108	11	17	"CO2"	1	10
13	0.981234157837776	9	17	"CO2"	1	10
14	0.974482501861504	9	17	"CO2"	1	10
15	0.977802227146776	10	17	"CO2"	1	10
16	0.986080198033928	10	17	"CO2"	1	10
17	0.9723248766941	9	17	"CO2"	1	10
18	0.985433319487642	10	17	"CO2"	1	10
19	0.976354128607965	9	17	"CO2"	1	10
20	0.983358256705945	12	17	"CO2"	1	10
21	0.977138972987782	11	17	"CO2"	1	10
22	0.981610318546023	8	17	"CO2"	1	10
23	0.977954098384367	13	17	"CO2"	1	10
24	0.983353489979267	10	17	"CO2"	1	10
25	0.98128805454527	10	17	"CO2"	1	10
26	0.981222990417166	10	17	"CO2"	1	10
27	0.983459521252894	9	17	"CO2"	1	10
28	0.980329751848573	8	17	"CO2"	1	10
29	0.980508915437879	10	17	"CO2"	1	10
30	0.982889753441983	9	17	"CO2"	1	10
1	0.979511087717037	10	18	"CO2"	1	10
2	0.970719428354896	9	18	"CO2"	1	10
3	0.984603489979267	10	18	"CO2"	1	10
4	0.97998918994316	11	18	"CO2"	1	10
5	0.985452737225661	14	18	"CO2"	1	10
6	0.978837938928177	11	18	"CO2"	1	10
7	0.979197965813147	9	18	"CO2"	1	10
8	0.978438308431445	9	18	"CO2"	1	10
9	0.98385288446277	8	18	"CO2"	1	10
10	0.977758508793395	11	18	"CO2"	1	10
11	0.985029829470461	10	18	"CO2"	1	10
12	0.987723252574738	9	18	"CO2"	1	10
13	0.980365649204966	8	18	"CO2"	1	10
14	0.978555657645131	10	18	"CO2"	1	10
15	0.987207377832378	12	18	"CO2"	1	10
16	0.976970381308087	10	18	"CO2"	1	10
17	0.981391489972375	10	18	"CO2"	1	10
18	0.988304191885228	11	18	"CO2"	1	10
19	0.981941211497862	9	18	"CO2"	1	10
20	0.981855720139604	11	18	"CO2"	1	10
21	0.983193550303327	8	18	"CO2"	1	10
22	0.979552782890325	9	18	"CO2"	1	10
23	0.986330252078519	11	18	"CO2"	1	10
24	0.981538435426108	10	18	"CO2"	1	10
25	0.987271120822911	13	18	"CO2"	1	10
26	0.965906845712573	11	18	"CO2"	1	10
27	0.962928723649135	9	18	"CO2"	1	10
28	0.977875591267326	8	18	"CO2"	1	10
29	0.985110828774531	9	18	"CO2"	1	10
30	0.974668745779935	10	18	"CO2"	1	10
1	0.980846904739405	10	19	"CO2"	1	10
2	0.97539955281718	9	19	"CO2"	1	10
3	0.982499437902251	10	19	"CO2"	1	10
4	0.983642984219738	10	19	"CO2"	1	10
5	0.98310928933924	9	19	"CO2"	1	10
6	0.986725994742766	9	19	"CO2"	1	10
7	0.975782759249134	8	19	"CO2"	1	10
8	0.986606417331458	12	19	"CO2"	1	10
9	0.98711859678488	10	19	"CO2"	1	10
10	0.979750626499954	8	19	"CO2"	1	10
11	0.973276807481123	11	19	"CO2"	1	10
12	0.985596920289855	8	19	"CO2"	1	10
13	0.976577898550725	8	19	"CO2"	1	10
14	0.97840961381898	10	19	"CO2"	1	10
15	0.971654975597355	9	19	"CO2"	1	10
16	0.987684564348943	10	19	"CO2"	1	10
17	0.976435962743691	11	19	"CO2"	1	10
18	0.976314238396228	9	19	"CO2"	1	10
19	0.977683908430049	11	19	"CO2"	1	10
20	0.979382326547628	10	19	"CO2"	1	10
21	0.982124564108401	9	19	"CO2"	1	10
22	0.984312475462918	14	19	"CO2"	1	10
23	0.976218793725606	10	19	"CO2"	1	10
24	0.979082203706007	10	19	"CO2"	1	10
25	0.980659486433254	8	19	"CO2"	1	10
26	0.984720654526108	10	19	"CO2"	1	10
27	0.979763578317843	8	19	"CO2"	1	10
28	0.974839315314096	10	19	"CO2"	1	10
29	0.980642547878981	9	19	"CO2"	1	10
30	0.985190464256625	12	19	"CO2"	1	10
1	0.97810411506388	8	20	"CO2"	1	10
2	0.980379134823463	14	20	"CO2"	1	10
